name,level,status,province,district,division,location,constituency,county,email,latitude,longitude
JERUSALEM STAR ACADEMY PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.12,36.95
SHIGARO UNIT FOR MENTALLY HANDICAPPED,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,WUNDANYI,WUNDANYI,TAITA TAVETA,,-3.41,38.38
NYOLO PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,BURA,MWATATE,TAITA TAVETA,,-3.47,38.32
TUMAINI JUNIOR PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.19,36.96
RUERA PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.09,36.96
BURA PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,BURA,MWATATE,TAITA TAVETA,,-3.45,38.31
MWAROMBO PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,WUNDANYI,WUNDANYI,TAITA TAVETA,,-3.39,38.37
FATHER'S HOUSE CHRISTIAN SCH. PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.13,36.97
MBAGHA PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,BURA,MWATATE,TAITA TAVETA,,-3.45,38.31
KIDULE PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,MBALE,WUNDANYI,TAITA TAVETA,,-3.38,38.37
PLAINSVIEW ACADEMY PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.15,36.97
MRUGUA PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,BURA,MWATATE,TAITA TAVETA,,-3.43,38.3
LITTLE KIDS ACADEMY PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.16,36.96
MNAMU PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,BURA,MWATATE,TAITA TAVETA,,-3.44,38.29
FAIRVIEW ACADEMY PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.16,36.96
MAYNARD PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,MBALE,WUNDANYI,TAITA TAVETA,,-3.38,38.38
KILULUNYI PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,BURA,MWATATE,TAITA TAVETA,,-3.44,38.32
DANJOSE EDUCATIONAL CENTRE PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.16,36.96
MLUGHI PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,MWAKITAU,MWATATE,TAITA TAVETA,,-3.49,38.3
FIGINYI PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,MBALE,WUNDANYI,TAITA TAVETA,,-3.38,38.38
RUIRU EAST PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.16,36.96
MWASHUMA PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,MWAKITAU,MWATATE,TAITA TAVETA,,-3.49,38.27
"GATONG,ORA PRI SCH",PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.16,36.97
GODOMA PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,MWAKITAU,MWATATE,TAITA TAVETA,,-3.46,38.26
NGILINYI PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,MBALE,WUNDANYI,TAITA TAVETA,,-3.36,38.38
AGAPE DAYS RING ACADEMY PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.15,36.98
KWIHOTA PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.16,36.99
CHOKE PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,MBALE,WUNDANYI,TAITA TAVETA,,-3.36,38.39
KWIHOTA  SPECIAL UNIT PRI  SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.16,36.99
MLECHI PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,MBALE,WUNDANYI,TAITA TAVETA,,-3.39,38.38
