name,level,status,province,district,division,location,constituency,county,email,latitude,longitude
NEW HOPE PREP SCH PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIKINDANI,CHANGAMWE,MOMBASA,,-4,39.63
ST FRANCIS OF ASSISI PRI SCH-WITIMA,PRIMARY SCHOOL,PRIVATE,CENTRAL,NYERI,OTHAYA,KARIMA,OTHAYA,NYERI,,-0.56,36.98
GOLDEN KEY SCH PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIKINDANI,CHANGAMWE,MOMBASA,,-4,39.63
IYALE MIKINDANI JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIKINDANI,CHANGAMWE,MOMBASA,,-4,39.63
ST. IRENE PRI SCH,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIKINDANI,CHANGAMWE,MOMBASA,,-4,39.63
OTHAYA ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,NYERI,OTHAYA,IRIA-INI,OTHAYA,NYERI,,-0.55,36.94
BRIGHTONS ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,CHANGAMWE,CHANGAMWE,MOMBASA,,-4.02,39.63
BISHOP MKALA ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,CHANGAMWE,CHANGAMWE,MOMBASA,,-4.02,39.63
KIMBILIO ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,CHANGAMWE,CHANGAMWE,MOMBASA,,-4.02,39.63
ELITE JUNIOR,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,THIBA,MWEA,KIRINYAGA,,-0.68,37.34
MWEA CENTRAL ACADEMY,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,THIBA,MWEA,KIRINYAGA,,-0.69,37.34
THIBA GLORY ACADEMY,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,THIBA,MWEA,KIRINYAGA,,-0.69,37.35
MUTITHI JUNIOR ACADEMY,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,THIBA,MWEA,KIRINYAGA,,-0.72,37.32
HOLY TREE COMMUNITY SCH PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIRITINI,CHANGAMWE,MOMBASA,,-4,39.57
SUNFLOWER JUNIOR PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,NYERI,OTHAYA,IRIA-INI,OTHAYA,NYERI,,-0.55,36.89
GLORY ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIRITINI,CHANGAMWE,MOMBASA,,-4,39.57
MT. CARMEL JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,NYERI,OTHAYA,IRIA-INI,OTHAYA,NYERI,,-0.55,36.94
ST JOSPHAT  CHEGE PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,THIBA,MWEA,KIRINYAGA,,-0.73,37.33
TOP SCHOOL PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIRITINI,CHANGAMWE,MOMBASA,,-4,39.57
ST THOMAS CATHOLIC ACADEMY,PRIMARY SCHOOL,PRIVATE,CENTRAL,NYERI,OTHAYA,IRIA-INI,OTHAYA,NYERI,,-0.55,36.94
HIGH HOPE JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIRITINI,CHANGAMWE,MOMBASA,,-4.01,39.59
ST. JOHNS KINGS ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIRITINI,CHANGAMWE,MOMBASA,,-4.02,39.59
MAMA MLAI ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIRITINI,CHANGAMWE,MOMBASA,,-4.01,39.6
VISION OF HOPE PRI SCH,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIRITINI,CHANGAMWE,MOMBASA,,-4.01,39.6
THE DIAMOND ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIRITINI,CHANGAMWE,MOMBASA,,-4.01,39.6
ABU UBEDIA PRI SC,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.01,39.6
ST TERESA KANYANGE ACADEMY,PRIMARY SCHOOL,PRIVATE,CENTRAL,NYERI,OTHAYA,IRIA-INI,OTHAYA,NYERI,,-0.55,36.94
RIVER ROAD SCHOOL ( ANNEX),PRIMARY SCHOOL,PRIVATE,CENTRAL,NYERI,OTHAYA,IRIA-INI,OTHAYA,NYERI,,-0.55,36.94
GOODWILL JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.02,39.61
MAINLAND ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.02,39.61
MWATATE JUNIOR ACADEMY PRIMARY,PRIMARY SCHOOL,PRIVATE,COAST,TAITA TAVETA,MWATATE,MWATATE,MWATATE,TAITA TAVETA,,-3.5,38.37
AIRPORT VIEW ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.02,39.6
TAITA ACADEMY PRIMARY,PRIMARY SCHOOL,PRIVATE,COAST,TAITA TAVETA,MWATATE,MWATATE,MWATATE,TAITA TAVETA,,-3.5,38.37
MWAGOSI ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.02,39.61
LIGHTRAYS ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.02,39.61
PORT REITZ BOKOLE ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.02,39.6
HIGH BRIDGE ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.03,39.61
HEPIDA JUNIOR PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.03,39.61
PARKVIEW ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.03,39.61
WANGA PRI SCH,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.03,39.61
VINEYARD PRI SCH,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.03,39.61
BEVO GOOD SAMARITAN ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.03,39.61
ST. AGHANS DAY ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.03,39.61
GOMURA ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.02,39.62
MOMBASA STARSHINE PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,KIPEVU,CHANGAMWE,MOMBASA,,-4.02,39.62
MOMBASA FRIENDSHIP ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,KIPEVU,CHANGAMWE,MOMBASA,,-4.03,39.62
FUMATHOKA PRI SCH,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,KISAUNI,BAMBURI,KISAUNI,MOMBASA,,-3.96,39.71
GOSHEN VIEW ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,KISAUNI,BAMBURI,KISAUNI,MOMBASA,,-3.96,39.73
GOSPAL PRI SCH,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,KISAUNI,BAMBURI,KISAUNI,MOMBASA,,-4,39.7
THE AGA KHAN ACADEMY MOMBASA PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,ISLAND,TONONOKA,MVITA,MOMBASA,,-4.05,39.67
JACRIDGE PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.16,36.95
SANTA ANA CALM WATERS ACADEMY-PRI SCH,PRIMARY SCHOOL,PRIVATE,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.14,36.95
MASS PRI SCH,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,KISAUNI,KISAUNI,BAHARI,KILIFI,,-4.02,39.69
MWATATE JUNIOR PREPARATORY,PRIMARY SCHOOL,PRIVATE,COAST,TAITA TAVETA,MWATATE,MWATATE,MWATATE,TAITA TAVETA,,-3.48,38.44
SHANZU GOOD HOPE PRI SCH,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,KISAUNI,BAMBURI,KISAUNI,MOMBASA,,-3.97,39.72
KIMBO PREP SCH - PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.12,36.96
TOP EVER ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.13,36.96
PRECIOUS CORNER STONE ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.13,36.95
JERUSALEM STAR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.12,36.95
TUMAINI JUNIOR PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.19,36.96
FATHER'S HOUSE CHRISTIAN SCH. PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.13,36.97
PLAINSVIEW ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.15,36.97
LITTLE KIDS ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.16,36.96
FAIRVIEW ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.16,36.96
